"x"
0
83.7133
725.9106
300.945
47.3171
9.9216
0.2317
4.0841
5956.7369
4.3557
137.2762
2340.1402
0
0
57.56
2.6015
8.0199
0
53.4923
2.4574
18.4828
0
37.6265
42.794
73.5862
57.2994
0
107.7543
286.3961
0
37.2263
47.1108
30.2396
0
0
